g,Level (eV)
5,0.00000000
3,0.13789150
1,0.19468370
5,1.73701900
1,4.12442000
5,14.10946600
3,14.23306100
1,14.29885000
3,17.85649900
3,17.96350800
5,17.96415480
7,17.96500300
9,17.96670800
7,19.45504470
5,19.45591740
3,19.46921540
1,20.06683400
5,20.17933100
7,20.21886800
9,20.26856600
7,21.33769400
9,21.34221470
11,21.34902350
5,21.62017815
9,21.77975690
5,22.25882350
3,22.40125602
9,23.11101230
7,23.14266610
5,23.17314580
3,23.20637310
5,23.28720050
7,23.39766250
1,23.32702000
3,23.37323490
5,23.48023040
3,24.37413232
5,24.37717952
7,24.38531705
5,24.76750685
7,24.83625840
3,25.36344160
5,25.37408393
7,25.39237770
3,25.38308500
5,25.69361780
3,25.73073000
1,25.74831820
3,25.92833862
5,25.93140430
1,25.93323021
7,26.06305600
5,26.16135500
3,26.23072100
3,26.16857110
5,26.52663924
3,26.57571520
1,26.60322700
5,27.19438900
3,27.26517590
3,27.73069760
7,27.81388200
5,27.91494398
3,27.91585952
7,27.94654815
5,28.06469227
7,28.08293673
9,28.10060677
7,28.17468645
5,28.68277299
3,28.71813306
1,28.73393760
5,29.26828372
3,29.41550000
3,29.65628050
3,29.77505200
5,29.78825170
7,29.79245706
3,29.98026630
1,30.11880900
3,30.14639370
5,30.18095237
5,30.29654080
3,30.50431390
5,30.50461060
7,30.50506140
9,30.50576870
1,30.97339290
5,31.08526550
5,31.27560840
3,31.27801100
7,31.27995930
3,31.31546430
1,31.62933930
5,33.06955140
7,33.08874830
9,33.11271780
7,33.20083620
9,33.20714657
11,33.21491819
3,33.34922680
7,33.35201420
5,33.35347560
3,33.56955000
5,33.66284010
3,33.68312380
1,33.68623700
3,33.73228000
5,33.73529000
3,33.73977890
5,33.74727460
7,33.75501770
7,34.14179000
5,34.89697050
7,34.89841410
1,34.95729100
3,34.96378910
5,34.97604070
7,35.20173530
5,35.22361260
3,35.22634000
1,35.43878000
3,35.44496620
5,35.46070300
