g,Level (eV)
1,0.00000000
5,11.54835442
3,11.62359272
1,11.72316039
3,11.82807116
3,12.90701530
1,13.27303810
7,13.07571571
5,13.09487256
3,13.15314387
5,13.17177770
3,13.28263902
5,13.30222747
3,13.32785705
1,13.47988682
1,13.84503850
3,13.86366860
5,13.90345460
3,14.15251510
9,13.97923730
7,14.01273810
5,14.06302720
7,14.09905590
5,14.06829770
3,14.08996850
5,14.21367150
7,14.23610610
5,14.23402260
3,14.30366840
1,14.24102770
3,14.25508560
3,14.46399577
1,14.57594878
7,14.49905364
5,14.50606764
3,14.52491330
5,14.52891349
3,14.68065033
5,14.68829030
3,14.68711824
1,14.73811536
1,14.69363970
3,14.71089810
5,14.74254085
3,14.85923000
9,14.75705160
7,14.78051200
5,14.80927200
7,14.82429800
5,14.83881100
3,14.84836899
3,14.90144160
5,14.90149110
11,14.90378520
9,14.90379020
7,14.90658920
5,14.90662800
7,14.90908450
9,14.90908920
5,14.95260474
3,15.00356588
5,14.95485204
7,14.97152236
3,15.01061020
1,15.06039010
1,15.01406550
3,15.02208834
7,15.02259090
5,15.02586880
3,15.03397190
5,15.03564020
7,15.08307920
9,15.08308440
7,15.08320270
5,15.08324560
1,15.10054371
3,15.11774638
9,15.13054437
7,15.14592830
5,15.13684847
3,15.18982390
5,15.16104860
7,15.16694630
5,15.18063359
3,15.18550800
3,15.20061460
1,15.22408750
3,15.20165760
5,15.20480890
3,15.21113340
5,15.21117620
11,15.21232010
9,15.21232760
7,15.21384090
5,15.21386860
5,15.21403300
7,15.21403300
11,15.21445300
13,15.21445300
7,15.21507090
9,15.21507460
7,15.21527500
9,15.21527500
9,15.21571200
11,15.21571200
3,15.27137180
1,15.29779580
7,15.27556990
5,15.27741800
3,15.28166100
5,15.28248140
5,15.29629325
3,15.35117300
3,15.30807770
1,15.31315530
5,15.31272913
7,15.31916801
9,15.33104000
7,15.34600299
5,15.35029920
3,15.37367000
5,15.35256030
7,15.35326320
1,15.35829460
3,15.35943560
5,15.36204140
