g,Level (eV)
1,0.00000000
1,6.49268800
3,6.49562500
5,6.50261300
3,12.69003600
1,17.03861500
3,17.04217400
5,17.04807600
5,18.08633500
1,22.62958100
3,29.53464800
1,30.64520700
3,32.10338800
1,32.19938400
3,32.20008700
5,32.20170900
3,33.47707600
5,33.47721300
7,33.47756100
5,34.27950600
1,38.21398600
3,38.21799400
5,38.22647200
3,38.36779900
3,38.43588500
1,38.64854200
1,39.40146700
3,39.40174600
5,39.40233900
3,39.64027100
3,39.84992400
5,39.85183700
7,39.85472700
5,39.92336800
7,39.92410000
9,39.92514000
3,39.97302600
7,40.00995100
3,40.05642800
5,40.05946300
7,40.06429500
5,40.19722600
3,40.57733400
1,40.87577800
3,40.87839200
5,40.88299200
5,41.24846200
5,41.30139400
5,41.33472100
7,41.33776400
9,41.34218900
3,41.86400600
5,41.86560700
7,41.86798100
1,41.97042800
3,42.14653400
5,42.16725400
3,42.17043900
1,42.17221200
7,42.32460200
3,42.55857200
5,42.67945000
3,42.67986000
1,42.68015700
1,42.78638000
3,42.83611500
5,42.83613400
7,42.83618700
7,42.97034600
9,42.97034600
11,42.97038000
9,42.97035800
5,42.98015600
3,42.98690000
5,43.04134900
7,43.04151900
9,43.04178500
7,43.25312600
3,43.99678800
1,44.26848100
3,44.26857900
5,44.26871100
3,44.27595700
3,44.39846600
5,44.39846600
7,44.39846600
7,44.47216000
9,44.47216000
11,44.47219000
9,44.47216200
5,44.47721500
11,44.48259000
9,44.48259000
11,44.48259000
13,44.48259000
5,44.49173200
7,44.49176900
9,44.49182100
7,44.52544700
3,45.08230000
3,45.24130000
3,45.33330000
5,45.33330000
7,45.33330000
7,45.37802000
9,45.37802000
11,45.37802000
5,45.38170000
5,45.38677000
7,45.38677000
9,45.38677000
3,45.86500000
3,45.93600000
5,45.93600000
7,45.93600000
3,46.34880000
5,46.34880000
7,46.34880000
1,46.65254000
3,46.65515000
5,46.66810000
3,47.25105000
3,47.35600000
5,47.35840000
7,47.36300000
1,47.65270000
3,47.65520000
5,47.66020000
5,47.81303000
5,47.83524000
5,47.83630000
7,47.83630000
9,47.83630000
3,48.06830000
5,48.06830000
7,48.06830000
7,48.12140000
9,48.12140000
11,48.12140000
5,48.12720000
7,48.12870000
9,48.13245000
1,48.16700000
3,48.16700000
5,48.16700000
7,48.20170000
7,48.31271000
5,48.31931000
3,48.32108000
3,50.51500000
3,50.56400000
5,50.56400000
7,50.56400000
1,50.70020000
3,50.70020000
5,50.70020000
5,50.77230000
5,50.79420000
3,50.90610000
5,50.90610000
7,50.90610000
7,50.93510000
9,50.93510000
11,50.93510000
5,50.94050000
7,50.94050000
9,50.94050000
1,50.94410000
3,50.94410000
5,50.94410000
9,50.96490000
11,50.96490000
13,50.96490000
7,50.97040000
9,50.97040000
11,50.97045000
5,51.01119000
7,51.01119000
9,51.01120000
3,52.25090000
5,52.25090000
7,52.25090000
1,52.32370000
3,52.32370000
5,52.32370000
3,52.43690000
5,52.43690000
7,52.43690000
1,52.45880000
3,52.45880000
5,52.45880000
7,52.46994000
9,52.47217000
11,52.47672000
3,53.23840000
5,53.23840000
7,53.23840000
1,53.28390000
3,53.28390000
5,53.28390000
