g,Level (eV)
2,0.00000000
4,0.00785999
2,5.33167000
4,5.33441000
6,5.33792000
6,9.29014550
4,9.29045900
2,11.96368700
2,13.71565000
4,13.72078400
2,14.44882690
2,16.33174190
4,16.33312380
4,17.60901000
4,18.04580700
6,18.04598700
6,18.65485800
4,18.65549300
2,19.49453800
2,20.14965200
4,20.15047700
2,20.70128900
4,20.70421300
6,20.70979100
4,20.84474000
6,20.84476500
2,20.91979300
4,20.92211800
6,20.95063200
8,20.95065400
2,21.49240500
2,21.73286300
4,21.73377800
2,22.04123500
4,22.04358700
4,22.13059500
6,22.13062600
6,22.18776300
8,22.18777300
8,22.20222500
10,22.20223400
2,22.47390000
2,22.52751800
4,22.52929900
6,22.53240000
8,22.53690500
2,22.56808600
4,22.57050400
2,22.68822900
4,22.68825500
4,22.82235000
6,22.82243600
6,22.85972900
8,22.85973400
8,22.86882300
10,22.86882800
10,22.87063500
12,22.87063500
4,22.89876600
2,23.02794800
2,23.11404800
4,23.11607400
6,23.11884100
2,23.15347000
4,23.15359000
4,23.22886000
6,23.22886000
6,23.26462800
8,23.26463100
8,23.27075900
10,23.27076300
10,23.27194600
12,23.27194600
12,23.27230300
14,23.27230300
2,23.37158000
4,23.38109600
6,23.38528100
6,23.52747000
8,23.52747100
8,23.53160200
10,23.53160300
10,23.53243900
12,23.53244000
12,23.53266300
14,23.53266300
14,23.53275400
16,23.53275400
4,23.53320000
6,23.53370000
2,23.59933000
4,23.70700000
6,23.70710000
6,23.70742500
8,23.70742600
8,23.71039600
10,23.71039700
10,23.71098700
12,23.71098700
12,23.71116600
14,23.71116600
14,23.71123300
16,23.71123300
4,23.83410000
6,23.83420000
6,23.83609600
8,23.83609600
8,23.83828700
10,23.83828800
10,23.83873400
12,23.83873600
12,23.83884900
14,23.83884900
14,23.83889800
16,23.83889800
4,23.92840000
6,23.92840000
6,23.93119000
8,23.93119000
8,23.93287800
10,23.93287900
10,23.93321700
12,23.93321700
12,23.93331700
14,23.93331700
14,23.93335500
16,23.93335500
4,24.00290000
6,24.00290000
6,24.00349000
8,24.00349000
8,24.00484700
10,24.00484700
10,24.00509000
12,24.00509000
12,24.00516800
14,24.00516800
14,24.00519800
16,24.00519800
6,24.05980400
