g,Level (eV)
1,0.00000000
3,0.00203541
5,0.00538258
5,1.26372840
1,2.68401360
5,4.18262190
1,7.48039414
3,7.48277598
5,7.48779869
3,7.68476777
7,7.94577156
3,7.94613476
5,7.94627046
3,8.53709962
3,8.64039604
5,8.64302368
7,8.64716040
3,8.77113470
1,8.84658790
3,8.84812438
5,8.85066283
5,9.00258381
1,9.17184612
3,9.33030708
5,9.33046727
1,9.33057587
5,9.63107184
1,9.68378589
3,9.68524553
5,9.68913056
5,9.69545167
7,9.69749105
9,9.70175941
3,9.70715841
5,9.70891075
7,9.71022744
3,9.71295903
7,9.73643528
3,9.76143658
5,9.83329442
3,9.83427899
1,9.83482192
3,9.98852478
3,10.01574721
5,10.01808303
7,10.02221618
3,10.05574637
1,10.08128590
3,10.08311546
5,10.08537744
5,10.13817190
1,10.19792602
5,10.35238138
1,10.38244873
3,10.38397899
5,10.38877088
5,10.38335829
7,10.38507444
9,10.38970421
3,10.39237505
5,10.39459625
7,10.39593494
3,10.39946040
7,10.40471218
5,10.40472588
7,10.40552565
9,10.40555038
7,10.40812917
7,10.41296443
9,10.41299796
7,10.41631859
5,10.41633791
11,10.41664128
9,10.41669049
3,10.41865840
3,10.41917726
5,10.41919132
5,10.42745839
3,10.42906912
1,10.42970278
3,10.52024138
3,10.53064280
5,10.53250800
7,10.53679751
1,10.55969200
3,10.56208579
5,10.56390942
5,10.58822980
1,10.61617050
5,10.68560706
5,10.70203000
7,10.70320700
9,10.70843900
1,10.70256000
3,10.70376050
5,10.70846800
3,10.70759000
5,10.71092400
7,10.71196600
7,10.71372629
5,10.71373880
7,10.71404072
9,10.71406552
3,10.71428980
7,10.71555641
9,10.71555649
11,10.71561401
9,10.71561406
7,10.71833600
7,10.72085710
9,10.72087957
7,10.72248485
5,10.72249990
9,10.72284670
11,10.72284691
11,10.72314833
9,10.72318948
7,10.72334742
9,10.72334747
3,10.72357200
11,10.72399473
13,10.72399516
5,10.72443720
7,10.72443729
3,10.72445000
5,10.72447860
5,10.72546557
3,10.72705160
1,10.72750800
3,10.77582500
3,10.78119200
5,10.78234700
7,10.78691200
1,10.79622200
3,10.79941230
5,10.80066500
5,10.81368790
1,10.82891000
5,10.86520300
5,10.87443300
7,10.87507800
9,10.88093100
1,10.87482600
3,10.87571820
5,10.88008000
3,10.87779500
5,10.88247900
7,10.88298300
7,10.88112000
5,10.88113000
9,10.88124300
7,10.88125100
9,10.88208810
7,10.88208850
11,10.88212892
9,10.88212892
9,10.88226150
11,10.88226160
11,10.88226250
13,10.88226250
3,10.88452900
7,10.88667400
7,10.88828700
9,10.88829900
7,10.88915900
5,10.88916600
9,10.88946490
11,10.88946640
3,10.88955400
11,10.88969000
9,10.88972000
7,10.88982240
9,10.88982330
5,10.88985100
3,10.89125900
1,10.89140000
11,10.88991540
13,10.88991560
11,10.89002340
9,10.89002340
13,10.89023131
11,10.89023170
13,10.89028230
15,10.89028260
7,10.89041680
9,10.89041690
3,10.89049400
5,10.89049400
7,10.89050020
5,10.89050020
3,10.91821500
3,10.92201600
5,10.92251900
7,10.92745100
1,10.93043800
3,10.93445700
5,10.93518300
5,10.94289200
1,10.95201900
5,10.97243200
7,10.97818300
5,10.97799000
3,10.97987000
1,10.97803000
3,10.97868860
7,10.98188700
5,10.98188800
9,10.98194500
7,10.98194500
5,10.98305100
3,10.98686200
9,10.98452500
7,10.98810200
5,10.98559000
7,10.98578400
7,10.98921900
9,10.98923000
7,10.98975100
5,10.98975100
3,10.98983400
5,10.98985000
11,10.99013000
9,10.99015000
5,10.99062400
3,10.99062500
3,10.99081000
1,10.99100000
3,11.00570900
5,11.00840000
3,11.00866400
7,11.01427900
5,11.02387800
5,11.01897200
1,11.02971500
5,11.04131000
7,11.04475500
5,11.04470000
3,11.04590700
1,11.04471600
3,11.04518100
5,11.04721600
7,11.04721900
9,11.04722400
7,11.04722400
5,11.04971000
3,11.05311100
9,11.05152700
7,11.05389900
5,11.05228400
7,11.05245100
9,11.05469800
7,11.05469800
5,11.05475000
3,11.05501900
7,11.05504100
5,11.05504100
11,11.05532000
9,11.05532000
1,11.05557000
3,11.05567200
3,11.05566000
5,11.05566000
3,11.06341100
7,11.07168100
5,11.07800200
1,11.08191000
5,11.08809200
7,11.09033000
5,11.09021000
3,11.09114900
1,11.09021000
3,11.09061600
9,11.09732800
7,11.09896000
5,11.09788300
7,11.09825000
3,11.09840700
5,11.09949000
3,11.09975500
3,11.09995000
1,11.10022000
3,11.10347200
7,11.11159900
1,11.11867100
5,11.12113000
7,11.12279600
3,11.12273000
1,11.12287000
5,11.12302000
3,11.12340700
9,11.13000800
7,11.13119000
5,11.13042000
7,11.13046000
3,11.13168300
5,11.13177000
3,11.13172000
1,11.13200000
3,11.13244600
5,11.14563000
7,11.14680600
3,11.14660000
1,11.14685000
5,11.14685000
3,11.14699000
5,11.15444800
7,11.15490000
3,11.15476700
7,11.15503100
3,11.15541900
5,11.15560000
1,11.15560000
3,11.15559000
3,11.16495000
1,11.16498000
7,11.16496700
5,11.16498000
3,11.16532000
5,11.17232000
7,11.17271000
3,11.17290000
7,11.17315000
1,11.17320000
3,11.17327000
5,11.17327000
3,11.17344000
3,11.17880000
1,11.17921000
7,11.17911000
5,11.17921000
3,11.17940800
7,11.18693000
5,11.18697000
3,11.18706400
3,11.18710000
1,11.18710000
5,11.18711000
3,11.18736200
7,11.18719700
5,11.19021000
3,11.19070000
1,11.19023000
3,11.19047000
7,11.19039000
7,11.19800000
5,11.19800000
3,11.19830000
7,11.19833500
3,11.19854400
5,11.19890000
3,11.19890000
1,11.19890000
3,11.19900000
1,11.19951000
7,11.19945300
5,11.19985000
7,11.20681000
1,11.20696000
5,11.20708000
5,11.20740000
7,11.20740000
7,11.20741900
3,11.20760000
5,11.20770000
1,11.20770000
3,11.20770000
7,11.21292300
5,11.21474000
7,11.21474000
7,11.21476100
3,11.21494000
7,11.21804400
5,11.22067000
7,11.22094000
7,11.22090700
3,11.22095700
7,11.22233000
7,11.22593000
5,11.22593000
7,11.22601000
3,11.22613400
7,11.22622000
7,11.22928600
7,11.22980000
5,11.22980000
7,11.23032400
3,11.23036000
7,11.23203500
5,11.23360000
7,11.23360000
7,11.23416000
3,11.23422000
7,11.23725000
7,11.23991000
7,11.24237000
7,11.24443200
7,11.24633000
7,11.24798000
7,11.24944800
7,11.25080700
7,11.25204000
3,12.83753000
5,12.84009000
7,12.84317300
5,12.86480000
3,13.11741900
3,14.26600000
5,14.26700000
7,14.26800000
3,14.28410000
3,15.43751000
5,15.44567000
7,15.45108000
3,15.89265000
5,15.90221000
7,15.90732000
3,16.12639000
7,16.13719000
3,16.26169000
7,16.26881000
3,16.34540000
