g,Level (eV)
2,0.00000000
2,10.19880615
4,10.19885151
2,10.19881053
8,10.19883580
2,12.08749366
4,12.08750710
2,12.08749496
18,12.08750520
4,12.08750708
6,12.08751156
2,12.74853245
4,12.74853812
2,12.74853300
4,12.74853811
6,12.74854000
32,12.74853930
6,12.74854000
8,12.74854094
2,13.05449818
4,13.05450109
2,13.05449846
4,13.05450107
6,13.05450204
50,13.05450170
6,13.05450205
8,13.05450253
8,13.05450253
10,13.05450282
2,13.22070146
4,13.22070314
2,13.22070163
4,13.22070314
6,13.22070370
6,13.22070370
8,13.22070398
72,13.22070389
8,13.22070398
10,13.22070415
10,13.22070415
12,13.22070426
2,13.32091665
4,13.32091770
2,13.32091675
4,13.32091770
6,13.32091806
98,13.32091817
2,13.38596008
4,13.38596079
2,13.38596015
4,13.38596079
6,13.38596102
128,13.38596103
2,13.43055360
4,13.43055410
2,13.43055365
4,13.43055410
6,13.43055426
162,13.43055424
2,13.46245106
4,13.46245142
2,13.46245109
4,13.46245142
6,13.46245154
200,13.46245155
2,13.48605155
4,13.48605183
2,13.48605158
4,13.48605183
6,13.48605192
242,13.48605194
2,13.50400166
4,13.50400187
2,13.50400168
4,13.50400187
6,13.50400194
288,13.50400193
338,13.51797128
392,13.52905552
450,13.53799772
512,13.54531624
578,13.55138166
648,13.55646454
722,13.56076619
800,13.56443886
882,13.56759946
968,13.57033894
1058,13.57272894
1152,13.57482645
1250,13.57667733
1352,13.57831878
1458,13.57978125
1568,13.58108984
1682,13.58226541
1800,13.58332538
1922,13.58428445
2048,13.58515502
2178,13.58594765
2312,13.58667137
2450,13.58733395
2592,13.58794208
2738,13.58850159
2888,13.58901750
3042,13.58949423
3200,13.58993566
