g,Level (eV)
1,0.00000000
3,0.01403230
5,0.03796070
5,2.51356500
1,5.35434900
5,7.47932100
7,14.88123000
5,14.88472000
3,14.88532000
5,17.65299000
3,17.65309000
1,17.65454000
5,23.19174000
3,24.43576000
3,26.09394000
1,33.13585700
3,33.15053700
5,33.18238700
3,33.85777000
5,35.18171900
3,35.20871000
1,35.22042700
3,36.07422500
3,36.43480100
5,36.45170900
7,36.47901100
3,36.89257200
5,36.98374000
1,37.22376700
3,37.23393800
5,37.25012900
5,38.01182900
1,38.90658500
5,40.22851800
7,40.25280900
9,40.27490700
5,40.26208900
3,40.57125600
5,40.57733800
7,40.58649600
5,40.84904900
3,40.86319400
1,40.87078800
7,41.14061500
3,41.25933000
3,41.97822900
5,41.99369300
7,42.01366100
1,42.56456000
1,43.39750600
3,43.40989900
5,43.43146400
1,44.22966400
3,44.24313900
5,44.27686600
3,44.46927600
3,45.03891900
1,45.31958200
3,45.32390500
5,45.33239200
7,45.34482500
9,45.36059700
3,45.34433900
3,45.43877700
5,45.45208100
7,45.47772900
3,45.62046900
3,45.69296900
5,45.70007100
7,45.71260200
1,45.91496700
3,45.92601800
5,45.93943000
5,45.98601400
3,46.44096500
5,46.45235600
7,46.46867500
5,46.62796700
5,46.78984900
7,46.81176000
9,46.83485400
5,46.82719900
5,46.91632500
3,46.91783300
1,46.91998000
3,47.01817400
5,47.02634200
7,47.03424300
7,47.18989900
5,47.19110100
7,47.19722600
9,47.19903600
5,47.20159100
3,47.20300600
1,47.20537200
7,47.21097200
3,47.24904800
7,47.25991200
9,47.26417700
11,47.28813100
9,47.29656200
7,47.29461600
5,47.29721900
3,47.31532100
5,47.31794900
1,48.58082300
3,48.59161400
5,48.62778400
3,48.69869600
3,48.85962000
5,48.86556000
7,48.87431000
3,48.91526300
5,48.92007900
7,48.92722500
9,48.93659700
11,48.94812800
5,49.36305900
3,49.36360100
1,49.36376700
7,49.36435800
9,49.37441100
7,49.40610100
5,49.41479100
3,49.41956200
5,49.63726700
3,49.65083500
1,49.65751800
5,49.76416900
7,49.77671600
9,49.79273800
5,49.78211000
7,49.80763000
9,49.82841000
5,49.81582000
5,49.89267000
7,49.90777000
7,50.01275000
3,50.03180000
3,50.31297400
5,50.31655400
7,50.32270300
5,51.41330000
3,51.47580000
5,51.47580000
7,51.47580000
7,52.44270000
7,52.70000000
5,52.85900000
3,53.12733700
5,53.14300000
7,53.16341900
3,53.31660000
3,54.18264000
3,54.33643000
5,54.34406000
7,54.35580000
9,54.37089000
3,54.46509000
5,54.47150000
7,54.48372000
7,54.89000000
7,55.81492300
5,55.82398900
3,55.83069600
5,56.14870000
7,56.14870000
9,56.14870000
3,56.31130000
5,56.31130000
7,56.31130000
1,56.73190000
3,56.73190000
5,56.73190000
7,58.73900000
