g,Level (eV)
4,0.00000000
6,3.32408500
4,3.32656700
4,5.01739400
2,5.01764100
6,14.85792000
4,14.87815700
2,14.88837700
6,20.57994600
4,20.58094300
2,22.96624780
4,22.97930290
6,22.99896020
2,23.41919460
4,23.44150820
2,24.26500600
2,25.28562110
2,25.63134780
4,25.63823190
6,25.64958630
8,25.66503680
6,25.66121800
4,25.66134700
2,25.83162470
4,25.83734710
6,25.84874670
4,26.22540010
6,26.24903340
4,26.30472080
4,26.35827400
2,26.37915700
2,26.55368590
4,26.56109400
6,28.35814200
8,28.36106900
6,28.50980300
4,28.51245300
2,28.59192800
4,28.67706480
6,28.68375510
8,28.69341140
10,28.70609200
6,28.82170450
4,28.83078320
2,28.83903350
2,28.82390100
4,28.82968500
2,28.85256640
4,28.85682390
6,28.85701990
8,28.85779530
6,28.86306240
8,28.88326090
4,28.94169700
2,28.95583900
4,29.06224290
6,29.06866990
2,29.58603400
4,29.59907600
6,29.61907600
2,29.79712400
4,29.82035100
2,30.38075200
6,30.42572200
2,30.47139400
4,30.47738700
6,30.48811410
8,30.50374490
4,30.53629410
2,30.53979840
6,30.55660360
4,30.56003650
4,30.74935000
6,30.77122200
2,30.80094900
4,30.81197000
8,31.14758200
6,31.14790400
10,31.31943500
8,31.31958100
2,31.36641900
4,31.36718300
4,31.37379700
6,31.37405500
2,31.46594800
4,31.46624700
4,31.53384500
6,31.54014400
8,31.55152400
10,31.56513700
2,31.59696100
4,31.60126200
6,31.60312800
8,31.61841700
4,31.61368300
6,31.62899000
4,31.63362700
2,31.63619000
4,31.63749200
2,31.65092500
6,31.65342700
8,31.67376000
2,31.69318800
6,31.70151210
8,31.70168660
6,31.70971890
8,31.71012220
4,31.71673600
6,31.71682830
10,31.71858700
8,31.71882500
4,31.72047800
6,31.72725800
4,31.72908400
2,31.72909000
12,31.73716280
10,31.73791950
4,31.75032040
6,31.75083390
8,31.75523350
6,31.75555020
10,31.75682110
8,31.75770770
2,31.95020000
4,31.96311800
6,31.98359700
2,32.03891300
4,32.06310100
6,32.14756600
4,32.14762400
2,32.32097800
2,32.34896000
4,32.35474500
6,32.36533500
8,32.38226600
2,32.38646700
4,32.39227200
6,32.40401700
4,32.43693900
4,32.44651000
6,32.46773500
2,32.51942100
4,32.52949200
6,32.88313000
4,32.88313000
6,32.90931000
4,32.91386000
8,32.92787000
6,32.93480300
8,32.93498800
10,32.94224600
8,32.94224600
6,32.94489300
8,32.94512800
10,32.95020100
8,32.95045700
4,32.95081900
6,32.95097700
8,32.95426600
10,32.95427300
10,32.95698100
12,32.95699100
6,32.95751300
8,32.95753700
6,32.96184000
2,32.96653800
4,32.96660700
12,32.97052200
10,32.97115600
4,32.97451100
6,32.97527600
6,32.97733100
4,32.97733100
8,32.97884300
6,32.97885100
12,32.97884300
14,32.97884700
10,32.97976600
8,32.98040400
6,32.98073900
8,32.98075400
10,32.98263600
8,32.98263600
12,32.98279200
10,32.98279200
6,33.05167400
8,33.05274000
4,33.05720300
6,33.05921900
2,33.06634000
4,33.07923000
6,33.10021400
2,33.11632000
4,33.14075700
2,33.16084800
4,33.16463100
4,33.19902600
6,33.19992800
8,33.20149200
2,33.27361000
4,33.28549000
6,33.29564700
8,33.31357000
6,33.32478000
8,33.60819200
10,33.60819700
10,33.62102400
8,33.62102400
10,33.62263900
12,33.62266500
6,33.62301700
8,33.62303200
6,33.64442800
4,33.64442800
12,33.64530700
14,33.64531800
8,33.64627100
6,33.64628700
8,33.64740800
10,33.64742700
10,33.64745900
12,33.64750000
4,33.81401000
6,33.82136000
8,33.84377000
6,33.85000000
6,34.06351000
8,34.06856000
4,34.08524000
6,34.08673000
4,34.17142000
10,34.20006700
8,34.20006700
8,34.20496500
6,34.20496500
4,34.21764900
6,34.22897700
2,34.21920000
4,34.22792200
6,34.22793100
10,34.23321000
12,34.23322000
4,34.25234700
2,34.25234700
4,34.48550200
6,34.48553800
2,34.99080800
10,35.43945900
8,35.44233900
12,35.45192400
10,35.45192400
10,35.45220800
8,35.45220800
6,35.45448300
12,35.45682000
10,35.45682000
14,35.45951900
12,35.45951900
4,35.46633500
4,35.58912000
6,35.58930000
2,35.95426000
4,35.95545000
12,36.11944900
10,36.11944900
10,36.11957800
8,36.11957800
14,36.12383000
12,36.12383000
10,36.19104700
8,36.19117000
6,36.19132600
4,36.19147200
2,36.19157100
6,37.05330300
