g,Level (eV)
5,0.00000000
3,0.01962240
1,0.02814160
5,1.96736420
1,4.18974630
5,9.14609110
3,9.52136380
3,10.74022500
5,10.74047560
7,10.74093140
3,10.98879230
5,10.98886160
1,10.98888110
5,11.83760560
3,11.93038560
9,12.07861870
7,12.07862940
5,12.07864460
3,12.07865740
1,12.07866350
3,12.08701840
5,12.08702710
7,12.08703820
3,12.28596220
5,12.28604560
7,12.28619390
3,12.35886490
5,12.35887500
1,12.35890720
7,12.53919240
5,12.54069490
3,12.54167390
5,12.66085690
3,12.69746910
5,12.72846900
9,12.75369730
7,12.75370240
5,12.75370970
3,12.75371580
1,12.75371880
7,12.75901230
5,12.75902080
3,12.75902650
11,12.76643580
9,12.76643580
7,12.76643580
5,12.76643580
3,12.76643580
9,12.76644750
7,12.76644750
5,12.76644750
3,12.84795600
5,12.84800030
7,12.84806230
5,12.87823470
3,12.87824220
1,12.87826990
5,13.02073460
3,13.03882700
9,13.06611860
7,13.06612150
5,13.06612550
3,13.06612880
1,13.06613040
7,13.06905140
5,13.06905140
3,13.06905140
11,13.07309780
9,13.07309780
7,13.07309780
5,13.07309780
3,13.07309780
9,13.07310760
7,13.07310760
5,13.07310760
3,13.11609380
5,13.11611420
7,13.11614650
5,13.13141830
3,13.13141830
1,13.13141830
5,13.20994030
3,13.22017890
9,13.23549260
7,13.23549400
5,13.23549590
3,13.23549750
1,13.23549840
7,13.23727250
5,13.23727250
3,13.23727250
11,13.23967250
9,13.23967250
7,13.23967250
5,13.23967250
3,13.23967250
9,13.23967760
7,13.23967760
5,13.23967760
11,13.24001260
9,13.24001260
7,13.24001260
13,13.24001260
11,13.24001260
9,13.24001260
7,13.24001260
5,13.24001260
5,13.32161060
3,13.32795720
9,13.33741120
7,13.33741220
5,13.33741360
3,13.33741470
1,13.33741520
7,13.33856440
5,13.33856440
3,13.33856440
11,13.34009720
9,13.34009720
7,13.34009720
5,13.34009720
3,13.34009720
9,13.34009810
7,13.34009810
5,13.34009810
5,13.39294670
3,13.39723650
9,13.40344470
7,13.40344530
5,13.40344630
3,13.40344700
1,13.40344740
7,13.40443000
5,13.40443000
3,13.40443000
5,13.44137000
3,13.44439000
9,13.44859500
7,13.44859500
5,13.44859500
3,13.44859500
1,13.44859500
7,13.44940000
5,13.44940000
3,13.44940000
3,13.47776000
9,13.48099200
7,13.48099200
5,13.48099200
3,13.48099200
1,13.48099200
7,13.48156000
5,13.48156000
3,13.48156000
3,13.50264000
7,13.50525000
5,13.50525000
3,13.50525000
3,13.52122000
7,13.52337000
5,13.52337000
3,13.52337000
3,13.53557000
7,13.53738000
5,13.53738000
3,13.53738000
3,13.54725000
7,13.54877000
5,13.54877000
3,13.54937000
3,13.55656000
