E(eV),"QmAr(Ang^2)(Murphy2014, Milloy+Frost&Phelps da 4eV in poi)"
0.014,3.88
0.017,3.56
0.02,3.28
0.025,2.89
0.03,2.57
0.035,2.29
0.04,2.05
0.05,1.662
0.06,1.357
0.07,1.114
0.08,0.916
0.09,0.754
0.1,0.621
0.11,0.511
0.12,0.42
0.13,0.348
0.14,0.284
0.15,0.233
0.17,0.161
0.18,0.135
0.19,0.115
0.2,0.101
0.21,0.092
0.22,0.086
0.23,0.085
0.24,0.087
0.25,0.091
0.26,0.098
0.28,0.12
0.3,0.151
0.32,0.188
0.325,0.206
0.4,0.317
0.5,0.504
0.65,0.792
0.8,1.05
1,1.37
1.2,1.66
1.5,2.05
1.7,2.33
2,2.7
2.5,3.43
3,4.2
4,5.7
4.0504,5.4932
4.3409,6.0591
4.9339,6.553
5.2361,7.228
5.6116,7.973
6.441,8.708
7.18,9.7
7.771,10.699
9.098,11.917
9.559,12.764
10.652,13.404
11.412,13.94
12.348,14.055
12.716,14.497
13.887,13.938
15.018,13.27
16.56,12.388
17.381,12.024
18.618,11.119
20.137,10.902
21.348,9.98
22.975,9.37
24.717,8.871
27.52,8.041
28.893,7.507
31.854,6.805
32.486,6.805
35.816,6.1681
39.109,5.7583
43.127,5.4286
45.733,5.2194
50.933,4.97
54.01,4.7776
58.979,4.5041
63.152,4.2463
70.33,4.0426
80.67,3.8486
87.24,3.7367
99.1,3.628
