E[eV],eta0[rad],eta1[rad],eta2[rad],eta3[rad],Bell 1984 Ar_e- Phase Shifts
0.01,3.90E-02,1.63E-03,3.67E-04,6.31E-05,
0.02,4.43E-02,3.09E-03,5.84E-04,1.54E-04,
0.06,5.36E-02,8.16E-03,1.58E-03,5.21E-04,
0.1,5.13E-02,1.22E-02,2.69E-03,8.94E-04,
0.2,3.26E-02,1.93E-02,5.52E-03,1.83E-03,
0.3,8.60E-03,2.31E-02,8.38E-03,2.76E-03,
0.4,-1.64E-02,2.46E-02,1.13E-02,3.67E-03,
0.5,-4.12E-02,2.44E-02,1.42E-02,4.57E-03,
0.7,-8.93E-02,2.04E-02,2.02E-02,6.37E-03,
1,-1.57E-01,8.20E-03,2.93E-02,9.06E-03,
2,-3.48E-01,-5.61E-03,6.45E-02,1.79E-02,
3,-5.06E-01,-1.33E-01,1.11E-01,2.67E-02,
5,-7.58E-01,-2.90E-01,2.32E-01,4.53E-02,
6,-8.61E-01,-3.64E-01,3.02E-01,5.52E-02,
7,-9.54E-01,-4.34E-01,3.81E-01,6.52E-02,
8,-1.038,-4.97E-01,4.70E-01,7.53E-02,
9,-1.116,-5.55E-01,5.64E-01,8.55E-02,
10,-1.186,-6.06E-01,6.61E-01,9.60E-02,
12,-1.311,-6.94E-01,8.58E-01,1.19E-01,
14,-1.42,-7.64E-01,1.055,1.44E-01,
16,-1.521,-8.20E-01,1.223,1.74E-01,
18,-1.585,-1.55E-01,1.342,2.13E-01,
19,-1.612,-8.70E-01,1.388,2.42E-01,
